# Waveforms — familles et usages
# Format: nom | description | effet

## A. Ondes périodiques classiques
sin | Sinusoïde pure | oscillation douce
cos | Décalée de sin | phase complémentaire
triangle | Montée/descente linéaire | battement mécanique
sawtooth | Montée progressive, chute brutale | répétition nette
reverse_saw | Chute lente, montée rapide | inversion de rythme
square | Valeur haute/basse alternée | on/off
pulse(x) | Carrée à duty-cycle réglable | battements irréguliers
half_sine | Sinus positif tronqué | pulsation lisse

## B. Ondes modulées ou combinées
sin2_cos2 | sin^2 ou cos^2 adouci | respiration
multi_sine(n) | Somme de n harmoniques | vibration complexe
beat(f1,f2) | Interférence de 2 fréquences | battement lent
fm | Fréquence modulée | variation organique
am | Amplitude modulée | enveloppe
ring_mod | Produit sin1×sin2 | texture chaotique
bouncing_sine | Sin positif avec rebond | effet ressort

## C. Bruits et pseudo-aléatoires
white_noise | Bruit instantané | agitation
pink_noise | 1/f lissé | naturel
perlin_noise | Bruit cohérent 1D/3D | variation douce
value_noise | Interpolation de valeurs | turbulence
simplex_noise | Variante rapide et stable | organique
noise_wave | Bruit en phase d’un sinus | oscillation irrégulière

## D. Enveloppes et dynamiques
envelope_ADSR | Attack/Decay/Sustain/Release | animation rythmée
exponential_decay | Descente rapide puis lente | extinction
ease_in_out | Accélération/décélération douce | interpolation
bounce_ease | Oscillation amortie | rebond
elastic_ease | Overshoot puis retour | ressort fort

## E. Fractales et chaotiques
fractal_sum | Somme de sinusoïdes multi-f | turbulence fine
chaos_logistic | Séquence pseudo-chaotique | imprévisible borné
lorenz_xyz | Coordonnées d’attracteur de Lorenz | spirales irrégulières
weierstrass_wave | Onde non dérivable | texture fractale

## G. Ondes liées à la géométrie
orbit_wave | Phase liée à angle caméra | synchro visuelle
distance_wave | Fonction de la distance au centre | effet radial
latlon_wave | Suivant latitude/longitude | propagation sphère
mask_wave | Suivant le masque courant | pulsation localisée
